created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Feb 15 10:23:08 +0000 2024;1,75807E+18;@javvaneses ini mah jaemin x tasya farasya sihh, eh lucu bgttt sihh🤩;0;1;0;0;in;1,53042E+18;1,75807E+18;twokki_;https://twitter.com/twokki_/status/1758074455572856898
Thu Feb 15 10:06:34 +0000 2024;1,75807E+18;ternyata Tasya farasya diculik ke Dubai sama baba. Okedeh met liburan memongggg💋;0;0;0;0;in;9,57952E+17;1,75807E+18;wiuwiuwww;https://twitter.com/wiuwiuwww/status/1758070287793577994
Thu Feb 15 09:25:49 +0000 2024;1,75806E+18;pgn punya suami kyk suaminya tasya farasya, ga banyak omong tbtb surprise liburan ke dubai;0;0;0;0;in;1,26328E+18;1,75806E+18;cornelias_treet;https://twitter.com/cornelias_treet/status/1758060032623874509
Thu Feb 15 09:02:49 +0000 2024;1,75805E+18;@vipmey aku td br mau blg ke km jgn coba originot soalx kata tasya farasya g oke😂;0;1;0;0;in;988379857;1,75805E+18;audraac_;https://twitter.com/audraac_/status/1758054242361983123
Thu Feb 15 08:58:21 +0000 2024;1,75805E+18;Cek [Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah dengan harga Rp125.000. Dapatkan di Shopee sekarang! https://t.co/DgSTiyB7ZZ https://t.co/6LkpgFipsF;0;0;0;0;in;138309608;1,75805E+18;PathitZhy;https://twitter.com/PathitZhy/status/1758053118728921446
Thu Feb 15 08:38:15 +0000 2024;1,75805E+18;Cek [Made by Tasya Farasya] MOP - Tender Touch Soft Ombré Powder Blush dengan harga Rp116.100. Dapatkan di Shopee sekarang! https://t.co/WtsqnEmLcv https://t.co/2pKFoInrAL;0;0;0;0;in;2915486605;1,75805E+18;nunatokki;https://twitter.com/nunatokki/status/1758048061354660126
Thu Feb 15 08:33:25 +0000 2024;1,75805E+18;Cek [TASYA FARASYA APPROVED] SOMETHINC Calm Down! Skinpair R-Cover Cream Moisturizer - (Madagascar Centella Asiatica, Skin Barrier, Kulit Sensitif, Kulit Iritasi) dengan harga Rp129.000. Dapatkan di Shopee sekarang! https://t.co/KC71JDGeHg https://t.co/ajxdTg4MOC;0;0;0;0;in;138309608;1,75805E+18;PathitZhy;https://twitter.com/PathitZhy/status/1758046845782425865
Thu Feb 15 08:20:00 +0000 2024;1,75804E+18;Ibunda Tasya Farasya ini pun bikin syok lantaran outfit mewahnya saat pergi ke TPS https://t.co/stGbE7yapH;0;0;0;1;in;132078023;1,75804E+18;officialinews_;https://twitter.com/officialinews_/status/1758043467635192302
Thu Feb 15 07:34:10 +0000 2024;1,75803E+18;kapan gua diculik juga ke dubai kayak tasya farasya diculik suaminya dibawa ke dubai😇🤲🏻 it's my dream🙂;0;0;0;0;in;1,13582E+18;1,75803E+18;disbitch_0;https://twitter.com/disbitch_0/status/1758031932628353135
Thu Feb 15 07:19:53 +0000 2024;1,75803E+18;nzaw: “tasya farasya pure arab ya?” gue &amp  kay: “iya” nzaw: “bapaknya kemana?” yo ndak tau kok tanya saya 😭😭😭😭😭😭😭😭;0;0;0;0;in;1,46347E+18;1,75803E+18;mooucu;https://twitter.com/mooucu/status/1758028339628179749
Thu Feb 15 07:08:32 +0000 2024;1,75803E+18;Basreng Favorite Ka Tasya Farasya   https://t.co/q25dIkNynB https://t.co/gpKTfZVwb6;0;0;0;0;in;1,72945E+18;1,75803E+18;dicekduluaja;https://twitter.com/dicekduluaja/status/1758025482661150988
Thu Feb 15 06:19:30 +0000 2024;1,75801E+18;[Tasya Farasya Approved] NEW! Wardah Matte Lip Cream - Non Dry Formula, High Pigmented, SPF 20 PA++ dengan harga Rp59.850. Dapatkan di Shopee sekarang! https://t.co/T7sY1Xixc9 https://t.co/VIxQ1oQ9Ui;0;0;0;0;in;138309608;1,75801E+18;PathitZhy;https://twitter.com/PathitZhy/status/1758013142133846327
Thu Feb 15 06:11:00 +0000 2024;1,75801E+18;tasya farasya valentine disurprisein ke dubai😦😦😦😦 https://t.co/CK2LYeYzO1;0;0;0;0;in;1,26784E+18;1,75801E+18;purplcosmic;https://twitter.com/purplcosmic/status/1758011006872359333
Thu Feb 15 04:59:22 +0000 2024;1,75799E+18;@twaebaby wahaha ini klo mau skin prep kunci make up bagus juga, apalagi klo dry skin 🫠  tpi misal kamu dapet yg lain it's okey, kek Tasya farasya, kak sunnie atau siapapun https://t.co/A7HUZRk49C;0;1;0;0;in;1,38109E+18;1,75799E+18;edelandwish;https://twitter.com/edelandwish/status/1757992978193535310
Thu Feb 15 04:23:56 +0000 2024;1,75798E+18;tadi malem sebelum tidur nonton igs mbak tasya farasya yg diculik suaminya buat ngrayain enip. ternyata malah kebawa mimpi karena penasaran diculik kemana nih orang. kalau dalam mimpi tadi sih dibawanya ke turki ternyata aslinya ke dubai. the real kepikiran sampai kebawa mimpi;0;0;0;0;in;135030848;1,75798E+18;belarnh;https://twitter.com/belarnh/status/1757984062759981453
Thu Feb 15 04:23:45 +0000 2024;1,75798E+18;11. Carl &amp  claire dancing with my shadow (rekomendasi parfum lokal tasya farasya) ✨  Link parfum https://t.co/x686YLWx4S  ✨ Rating 4.9 ✨ https://t.co/hbx0q2zfE7;0;1;2;4;in;1,21204E+18;1,75798E+18;reviewhaul;https://twitter.com/reviewhaul/status/1757984015896957112
